Benchmark,analysis time,time,Nexps,Nreactors,TCT,operating time ratio of the analyzers,operating time ratio of the reactors,scheduling mode
A1,3 min,1216.162415,37,2,0.747733144,0.490314469,0.747733144,SRIA-PI
A1,3 min,1289.181932,39,2,0.795753874,0.405000684,0.795753874,SRIA-PI
A1,3 min,1190.504856,41,2,0.744445357,0.407154236,0.744445357,SRIA-PI
A1,3 min,1167.443438,37,2,0.79817422,0.515133361,0.79817422,SRIA-PI
A1,3 min,822.3078289,25,2,0.737914285,0.979648539,0.737914285,SRIA-PI
A1,3 min,1540.954505,41,2,0.732670804,0.228624791,0.732670804,SRIA-PI
A1,3 min,1086.988297,35,2,0.75248794,0.604235073,0.75248794,SRIA-PI
A1,3 min,1064.690187,34,2,0.744783511,0.63965213,0.744783511,SRIA-PI
A1,3 min,636.1101014,64,8,0.656467547,0.13625138,0.656467547,SRIA-PI
A1,3 min,598.3438888,51,8,0.541856394,0.46824121,0.541856394,SRIA-PI
A1,3 min,433.8925725,45,8,0.62425682,0.696364019,0.62425682,SRIA-PI
A1,3 min,545.9575026,51,8,0.587251032,0.494928389,0.587251032,SRIA-PI
A1,3 min,540.0368936,45,8,0.463113903,0.642290954,0.463113903,SRIA-PI
A1,3 min,581.4135983,49,8,0.469511275,0.524981479,0.469511275,SRIA-PI
A1,3 min,541.5456339,51,8,0.539693876,0.497175925,0.539693876,SRIA-PI
A1,3 min,601.3968333,50,8,0.499861869,0.490743688,0.499861869,SRIA-PI
A1,3 min,548.031806,45,8,0.464385635,0.638218108,0.464385635,SRIA-PI
A1,3 min,367.4854797,45,8,0.636539506,0.730193762,0.636539506,SRIA-PI
A1,3 min,639.5548418,52,8,0.459851708,0.423189389,0.459851708,SRIA-PI
A1,3 min,519.668488,49,8,0.497245435,0.556436269,0.497245435,SRIA-PI
A1,3 min,646.0212251,48,8,0.44840901,0.516126176,0.44840901,SRIA-PI
A1,3 min,688.0797355,64,8,0.518817916,0.109776507,0.518817916,SRIA-PI
A1,3 min,419.2719144,44,8,0.586530141,0.727869955,0.586530141,SRIA-PI
A1,3 min,492.1953601,41,8,0.429450221,0.762893804,0.429450221,SRIA-PI
A1,3 min,492.3667947,45,8,0.503257905,0.666575516,0.503257905,SRIA-PI
A1,3 min,653.3568909,57,8,0.573960581,0.295869523,0.573960581,SRIA-PI
A1,3 min,587.6185876,50,8,0.507653824,0.497762735,0.507653824,SRIA-PI
A1,3 min,541.0172636,45,8,0.529455003,0.641791524,0.529455003,SRIA-PI
A1,3 min,526.7496896,52,8,0.475595976,0.48065568,0.475595976,SRIA-PI
A1,3 min,359.9333329,39,8,0.493228335,0.878387481,0.493228335,SRIA-PI
A1,3 min,728.48112,61,8,0.582947202,0.161368059,0.582947202,SRIA-PI
A1,3 min,559.1064031,57,8,0.552675613,0.343883517,0.552675613,SRIA-PI
A1,3 min,523.5480099,47,8,0.480085309,0.602575403,0.480085309,SRIA-PI
A1,3 min,604.3675444,51,8,0.53544585,0.465172581,0.53544585,SRIA-PI
A1,3 min,439.3434576,52,8,0.593649396,0.525183007,0.593649396,SRIA-PI
A1,3 min,737.088123,61,8,0.524842118,0.156983396,0.524842118,SRIA-PI
A1,3 min,719.9956569,60,8,0.44464035,0.189748544,0.44464035,SRIA-PI
A1,3 min,621.3728625,45,8,0.446702226,0.600855999,0.446702226,SRIA-PI
A1,3 min,687.4096375,43,5,0.658478257,0.615330384,0.658478257,SRIA-PI
A1,3 min,710.4235949,41,5,0.585070384,0.651721869,0.585070384,SRIA-PI
A1,3 min,564.6842225,40,5,0.606085323,0.750023566,0.606085323,SRIA-PI
A1,3 min,724.3137364,39,5,0.640787878,0.692761296,0.640787878,SRIA-PI
A1,3 min,502.4244716,37,5,0.503261497,0.853913746,0.503261497,SRIA-PI
A1,3 min,577.8562853,43,5,0.601214497,0.671140111,0.601214497,SRIA-PI
A1,3 min,712.7894905,44,5,0.535224249,0.578343396,0.535224249,SRIA-PI
A1,3 min,740.5035681,43,5,0.629566737,0.588282761,0.629566737,SRIA-PI
A1,3 min,597.7933299,35,5,0.543002633,0.853445498,0.543002633,SRIA-PI
A1,3 min,623.318338,37,5,0.563144587,0.792326825,0.563144587,SRIA-PI
A1,3 min,692.0041862,43,5,0.501884299,0.612989785,0.501884299,SRIA-PI
A1,3 min,1064.223253,61,5,0.630228606,-0.009668942,0.630228606,SRIA-PI
A1,3 min,584.3143233,41,5,0.656415888,0.715965672,0.656415888,SRIA-PI
A1,3 min,632.6385372,42,5,0.574535121,0.667290146,0.574535121,SRIA-PI
A1,3 min,735.3543908,47,5,0.643598171,0.494674951,0.643598171,SRIA-PI
A1,3 min,588.9551647,39,5,0.571450482,0.761716967,0.571450482,SRIA-PI
A1,3 min,718.2838535,48,5,0.675742661,0.47931345,0.675742661,SRIA-PI
A1,3 min,788.9444577,48,5,0.688290863,0.443316843,0.688290863,SRIA-PI
A1,3 min,516.3111344,34,5,0.552743376,0.919012684,0.552743376,SRIA-PI
A1,3 min,707.3512121,48,5,0.692966052,0.484882862,0.692966052,SRIA-PI
A1,3 min,536.9314953,36,5,0.500574221,0.860392583,0.500574221,SRIA-PI
A1,3 min,617.195465,42,5,0.67659125,0.675157305,0.67659125,SRIA-PI
A1,3 min,584.3711207,36,5,0.590923551,0.836225431,0.590923551,SRIA-PI
A1,3 min,833.2388644,51,5,0.658680216,0.348578742,0.658680216,SRIA-PI
A1,3 min,676.8897075,37,5,0.660031577,0.76503598,0.660031577,SRIA-PI
A1,3 min,784.5593972,43,5,0.666978023,0.565839415,0.666978023,SRIA-PI
A1,3 min,535.9375814,40,5,0.561444379,0.764667958,0.561444379,SRIA-PI
A1,3 min,885.1167568,52,5,0.605871579,0.298092867,0.605871579,SRIA-PI
A1,3 min,662.7077991,37,5,0.521037374,0.772260665,0.521037374,SRIA-PI
A1,3 min,670.6774648,42,5,0.602731546,0.647911988,0.602731546,SRIA-PI
A1,3 min,261.4453048,47,12,0.597901489,0.736098295,0.597901489,SRIA-PI
A1,3 min,460.5383018,45,12,0.320076065,0.682789894,0.320076065,SRIA-PI
A1,3 min,603.8978447,61,12,0.364144984,0.224834474,0.364144984,SRIA-PI
A1,3 min,359.7576659,39,12,0.35737745,0.878476971,0.35737745,SRIA-PI
A1,3 min,448.016002,55,12,0.409615998,0.44859174,0.409615998,SRIA-PI
A1,3 min,674.8621096,80,12,0.449668873,-0.26841386,0.449668873,SRIA-PI
A1,3 min,439.8335679,56,12,0.471103439,0.428702376,0.471103439,SRIA-PI
A1,3 min,521.896415,66,12,0.520530134,0.146319742,0.520530134,SRIA-PI
A1,3 min,362.4360004,44,12,0.368604999,0.756823855,0.368604999,SRIA-PI
A1,3 min,554.6678018,65,12,0.414217421,0.153682764,0.414217421,SRIA-PI
A1,3 min,536.6023353,75,12,0.472333476,-0.077691537,0.472333476,SRIA-PI
A1,3 min,436.6195099,55,12,0.423329629,0.454397451,0.423329629,SRIA-PI
A1,3 min,365.0634729,63,12,0.567842453,0.29838831,0.567842453,SRIA-PI
A1,3 min,461.8896895,67,12,0.464772116,0.152831209,0.464772116,SRIA-PI
A1,3 min,496.4485975,67,12,0.49457013,0.135225876,0.49457013,SRIA-PI
A1,3 min,493.1153468,75,12,0.617719364,-0.055537976,0.617719364,SRIA-PI
A1,3 min,499.0353991,65,12,0.38223607,0.18202356,0.38223607,SRIA-PI
A1,3 min,421.3049412,54,12,0.494927022,0.486256885,0.494927022,SRIA-PI
A1,3 min,378.1549205,57,12,0.525212904,0.436065569,0.525212904,SRIA-PI
A1,3 min,571.9292515,64,12,0.41166196,0.168947008,0.41166196,SRIA-PI
A1,3 min,602.6141051,65,12,0.434428561,0.129257495,0.434428561,SRIA-PI
A1,3 min,393.5370772,54,12,0.473777141,0.500402658,0.473777141,SRIA-PI
A1,3 min,421.1146229,49,12,0.356669876,0.606642531,0.356669876,SRIA-PI
A1,3 min,416.049322,57,12,0.450347871,0.416761037,0.450347871,SRIA-PI
A1,3 min,515.5098272,66,12,0.426492029,0.149573259,0.426492029,SRIA-PI
A1,3 min,466.3483766,53,12,0.450826889,0.487368161,0.450826889,SRIA-PI
A1,3 min,345.9708563,45,12,0.495761367,0.741153949,0.495761367,SRIA-PI
A1,3 min,484.4161064,66,12,0.529540893,0.165413322,0.529540893,SRIA-PI
A1,3 min,464.4052157,70,12,0.510664347,0.079376509,0.510664347,SRIA-PI
A1,3 min,530.4605514,61,12,0.416595773,0.262245609,0.416595773,SRIA-PI
A1,10 min,711.2494053,39,5,0.533292649,0.739527073,0.533292649,SRIA-PI
A1,10 min,1022.59279,45,5,0.482545413,0.454988252,0.482545413,SRIA-PI
A1,10 min,728.0075314,42,5,0.497220908,0.659600719,0.497220908,SRIA-PI
A1,10 min,676.8647485,34,5,0.577293717,0.875634357,0.577293717,SRIA-PI
A1,10 min,931.7778011,47,5,0.523356101,0.447474821,0.523356101,SRIA-PI
A1,10 min,1013.260376,50,5,0.500847802,0.338500764,0.500847802,SRIA-PI
A1,10 min,729.8868062,40,5,0.495748325,0.707027632,0.495748325,SRIA-PI
A1,10 min,901.9258868,44,5,0.485078248,0.533277541,0.485078248,SRIA-PI
A1,10 min,820.518145,44,5,0.506320833,0.569812542,0.506320833,SRIA-PI
A1,10 min,837.5908777,40,5,0.455814573,0.658691094,0.455814573,SRIA-PI
A1,10 min,873.4222322,39,5,0.438630289,0.666745488,0.438630289,SRIA-PI
A1,10 min,890.1642854,44,5,0.494672506,0.538556033,0.494672506,SRIA-PI
A1,10 min,706.8666811,36,5,0.44600754,0.813899468,0.44600754,SRIA-PI
A1,10 min,854.4751236,42,5,0.411980668,0.602843295,0.411980668,SRIA-PI
A1,10 min,920.4697682,45,5,0.465893641,0.50082007,0.465893641,SRIA-PI
A1,10 min,861.9469772,42,5,0.472825857,0.59949,0.472825857,SRIA-PI
A1,10 min,860.8283774,47,5,0.555789977,0.479316232,0.555789977,SRIA-PI
A1,10 min,987.9921693,52,5,0.571414045,0.301570576,0.571414045,SRIA-PI
A1,10 min,698.4464119,38,5,0.49018913,0.769408089,0.49018913,SRIA-PI
A1,10 min,620.0987953,36,5,0.589618346,0.85284005,0.589618346,SRIA-PI
A1,10 min,744.3137166,38,5,0.461304648,0.748823289,0.461304648,SRIA-PI
A1,10 min,756.2047038,42,5,0.516434462,0.646946102,0.516434462,SRIA-PI
A1,10 min,822.0073143,40,5,0.514661065,0.665684845,0.514661065,SRIA-PI
A1,10 min,923.2189762,43,5,0.54996703,0.547856566,0.54996703,SRIA-PI
A1,10 min,813.6854584,35,5,0.564080099,0.790095398,0.564080099,SRIA-PI
A1,10 min,1005.968219,46,5,0.552633906,0.438314041,0.552633906,SRIA-PI
A1,10 min,788.533281,42,5,0.471632114,0.632437352,0.471632114,SRIA-PI
A1,10 min,1090.731441,55,5,0.489532792,0.18305672,0.489532792,SRIA-PI
A1,10 min,590.8102464,36,5,0.512470295,0.865984466,0.512470295,SRIA-PI
A1,10 min,769.7312335,41,5,0.42903872,0.665010685,0.42903872,SRIA-PI
A1,10 min,1720.478516,46,2,0.658331272,0.117648776,0.617329261,SRIA-PI
A1,10 min,1141.79076,36,2,0.616011224,0.618709776,0.595452826,SRIA-PI
A1,10 min,1206.024204,37,2,0.695619928,0.565747275,0.588287888,SRIA-PI
A1,10 min,861.0805249,29,2,0.630989807,0.913635894,0.622906062,SRIA-PI
A1,10 min,1342.294749,38,2,0.650525048,0.480455224,0.614364517,SRIA-PI
A1,10 min,1078.563216,33,2,0.639495675,0.719491153,0.578611125,SRIA-PI
A1,10 min,1883.216226,48,2,0.702637484,-0.003656637,0.608903815,SRIA-PI
A1,10 min,1605.830465,41,2,0.70534482,0.28977749,0.699793693,SRIA-PI
A1,10 min,1220.148803,38,2,0.626985916,0.535273135,0.584775828,SRIA-PI
A1,10 min,1617.298785,45,2,0.619727061,0.188089992,0.598154653,SRIA-PI
A1,10 min,1318.319642,35,2,0.654083853,0.563620489,0.593540286,SRIA-PI
A1,10 min,1562.639451,42,2,0.673887168,0.285026039,0.637903673,SRIA-PI
A1,10 min,1851.268624,48,2,0.662873528,0.010681135,0.638207611,SRIA-PI
A1,10 min,967.6298997,33,2,0.58583413,0.769276945,0.607957236,SRIA-PI
A1,10 min,1043.560793,33,2,0.610134447,0.735199899,0.59452563,SRIA-PI
A1,10 min,1612.135625,44,2,0.708353012,0.214542325,0.640348996,SRIA-PI
A1,10 min,1240.102931,37,2,0.66159858,0.550453074,0.58933948,SRIA-PI
A1,10 min,1797.57916,43,2,0.709259719,0.155452229,0.641121231,SRIA-PI
A1,10 min,1404.755658,41,2,0.693114834,0.380017905,0.550040344,SRIA-PI
A1,10 min,1321.891623,35,2,0.671914622,0.562017419,0.605204979,SRIA-PI
A1,10 min,1353.737996,37,2,0.649519222,0.499454763,0.639622514,SRIA-PI
A1,10 min,1419.567375,41,2,0.622740338,0.373370551,0.519703211,SRIA-PI
A1,10 min,1240.924291,35,2,0.616908081,0.598354769,0.534542448,SRIA-PI
A1,10 min,1706.832129,43,2,0.685672033,0.196178613,0.63714778,SRIA-PI
A1,10 min,1346.823156,38,2,0.661641483,0.478422919,0.579704224,SRIA-PI
A1,10 min,1560.467976,42,2,0.684575349,0.286000576,0.687520683,SRIA-PI
A1,10 min,1559.153589,39,2,0.672357373,0.358995931,0.616146182,SRIA-PI
A1,10 min,1203.637263,31,2,0.670958289,0.711629452,0.557142545,SRIA-PI
A1,10 min,1127.872785,34,2,0.661428479,0.673226341,0.593515932,SRIA-PI
A1,10 min,1568.161826,39,2,0.611087039,0.354953122,0.532524323,SRIA-PI
A1,10 min,884.1678291,57,8,0.482958683,0.227490144,0.482958683,SRIA-PI
A1,10 min,686.1223673,50,8,0.422922106,0.485317118,0.422922106,SRIA-PI
A1,10 min,583.0828534,47,8,0.466791784,0.603965719,0.466791784,SRIA-PI
A1,10 min,713.8519628,48,8,0.401656357,0.521142659,0.401656357,SRIA-PI
A1,10 min,784.4762437,54,8,0.426598678,0.344636228,0.426598678,SRIA-PI
A1,10 min,455.3296865,36,8,0.388410714,0.926786822,0.388410714,SRIA-PI
A1,10 min,934.8421793,69,8,0.404082164,-0.084873893,0.404082164,SRIA-PI
A1,10 min,721.6643282,48,8,0.361902295,0.517636545,0.361902295,SRIA-PI
A1,10 min,641.5350849,45,8,0.417947608,0.62600324,0.417947608,SRIA-PI
A1,10 min,724.2525376,51,8,0.438332531,0.444069512,0.438332531,SRIA-PI
A1,10 min,719.7381827,53,8,0.436943457,0.397825196,0.436943457,SRIA-PI
A1,10 min,653.0000387,55,8,0.470816017,0.379506312,0.470816017,SRIA-PI
A1,10 min,756.5011604,58,8,0.443317001,0.260650546,0.443317001,SRIA-PI
A1,10 min,845.5688045,65,8,0.414375417,0.051731756,0.414375417,SRIA-PI
A1,10 min,691.4723198,50,8,0.416727398,0.482916111,0.416727398,SRIA-PI
A1,10 min,634.0388913,53,8,0.424982749,0.436286204,0.424982749,SRIA-PI
A1,10 min,492.7533635,37,8,0.37014991,0.885856283,0.37014991,SRIA-PI
A1,10 min,720.5710708,53,8,0.511420951,0.397451404,0.511420951,SRIA-PI
A1,10 min,694.9932683,50,8,0.430100426,0.481335944,0.430100426,SRIA-PI
A1,10 min,645.3256708,51,8,0.485501264,0.479491121,0.485501264,SRIA-PI
A1,10 min,724.9153867,50,8,0.372838482,0.467907188,0.372838482,SRIA-PI
A1,10 min,567.4609991,42,8,0.411211864,0.731652439,0.411211864,SRIA-PI
A1,10 min,770.2104015,48,8,0.390027688,0.49584954,0.390027688,SRIA-PI
A1,10 min,653.3467156,56,8,0.549359718,0.35521557,0.549359718,SRIA-PI
A1,10 min,847.6743938,56,8,0.388728231,0.2680032,0.388728231,SRIA-PI
A1,10 min,659.796915,44,8,0.370210837,0.641942666,0.370210837,SRIA-PI
A1,10 min,605.7156929,44,8,0.436652218,0.666213792,0.436652218,SRIA-PI
A1,10 min,836.2164782,57,8,0.45066527,0.249010244,0.45066527,SRIA-PI
A1,10 min,809.6743887,52,8,0.412358082,0.38159786,0.412358082,SRIA-PI
A1,10 min,847.6621123,58,8,0.412948833,0.219738398,0.412948833,SRIA-PI
A1,10 min,427.6604456,44,12,0.390942779,0.746123253,0.390942779,SRIA-PI
A1,10 min,655.1763065,60,12,0.345233805,0.25785384,0.345233805,SRIA-PI
A1,10 min,572.1808199,51,12,0.324208634,0.512317818,0.324208634,SRIA-PI
A1,10 min,579.7677795,51,12,0.334622728,0.508912864,0.334622728,SRIA-PI
A1,10 min,474.148173,48,12,0.32193596,0.628719386,0.32193596,SRIA-PI
A1,10 min,782.9207995,74,12,0.398235456,-0.137368841,0.398235456,SRIA-PI
A1,10 min,651.6731621,54,12,0.352074088,0.404236958,0.352074088,SRIA-PI
A1,10 min,448.5109674,44,12,0.339470619,0.736765742,0.339470619,SRIA-PI
A1,10 min,501.0674431,52,12,0.361003287,0.520097652,0.361003287,SRIA-PI
A1,10 min,618.0044269,58,12,0.299513263,0.322806531,0.299513263,SRIA-PI
A1,10 min,705.866485,65,12,0.363083783,0.114428797,0.363083783,SRIA-PI
A1,10 min,617.347302,64,12,0.340108383,0.178290501,0.340108383,SRIA-PI
A1,10 min,636.1563159,69,12,0.470181874,0.049173414,0.470181874,SRIA-PI
A1,10 min,670.5203859,68,12,0.339946031,0.057886311,0.339946031,SRIA-PI
A1,10 min,409.4165703,41,12,0.379384346,0.826716397,0.379384346,SRIA-PI
A1,10 min,720.4849221,65,12,0.393009753,0.107868184,0.393009753,SRIA-PI
A1,10 min,661.547669,65,12,0.314596614,0.13431865,0.314596614,SRIA-PI
A1,10 min,622.7210043,55,12,0.387360217,0.393095248,0.387360217,SRIA-PI
A1,10 min,768.8646742,66,12,0.315248095,0.062020666,0.315248095,SRIA-PI
A1,10 min,618.0948907,50,12,0.307092261,0.515847187,0.307092261,SRIA-PI
A1,10 min,670.6028505,60,12,0.352603629,0.250930557,0.352603629,SRIA-PI
A1,10 min,559.402153,59,12,0.40117874,0.324971504,0.40117874,SRIA-PI
A1,10 min,431.2547947,41,12,0.31335047,0.816915615,0.31335047,SRIA-PI
A1,10 min,749.2020513,67,12,0.414018211,0.046709903,0.414018211,SRIA-PI
A1,10 min,739.3195889,64,12,0.319006972,0.123550526,0.319006972,SRIA-PI
A1,10 min,816.2498021,72,12,0.36892818,-0.104056259,0.36892818,SRIA-PI
A1,10 min,510.9179505,48,12,0.37179231,0.612217468,0.37179231,SRIA-PI
A1,10 min,696.0927505,64,12,0.343352809,0.14295031,0.343352809,SRIA-PI
A1,10 min,513.9550107,59,12,0.39603435,0.345367739,0.39603435,SRIA-PI
A1,10 min,481.3567632,42,12,0.296554114,0.770295182,0.296554114,SRIA-PI
A1,20 min,983.1873356,36,5,0.322944551,0.812261136,0.322944551,SRIA-PI
A1,20 min,1012.550845,36,5,0.375816109,0.801676592,0.375816109,SRIA-PI
A1,20 min,1149.429892,42,5,0.353913852,0.613447471,0.353913852,SRIA-PI
A1,20 min,1097.602356,41,5,0.409848445,0.65527768,0.409848445,SRIA-PI
A1,20 min,1200.068278,46,5,0.335630953,0.502601466,0.335630953,SRIA-PI
A1,20 min,1230.762048,51,5,0.389368934,0.375796667,0.389368934,SRIA-PI
A1,20 min,1148.734935,40,5,0.316975107,0.659994275,0.316975107,SRIA-PI
A1,20 min,1169.898478,45,5,0.379113208,0.536624799,0.379113208,SRIA-PI
A1,20 min,1093.783763,43,5,0.415673585,0.610357856,0.415673585,SRIA-PI
A1,20 min,981.9929119,37,5,0.379356292,0.789543537,0.379356292,SRIA-PI
A1,20 min,840.829655,32,5,0.326904539,0.956168822,0.326904539,SRIA-PI
A1,20 min,1411.308714,57,5,0.412022129,0.171826857,0.412022129,SRIA-PI
A1,20 min,1235.155179,44,5,0.384465362,0.53625013,0.384465362,SRIA-PI
A1,20 min,1085.543759,40,5,0.288953688,0.682772541,0.288953688,SRIA-PI
A1,20 min,1351.05481,46,5,0.333372735,0.448175966,0.333372735,SRIA-PI
A1,20 min,1169.501374,42,5,0.374845046,0.606212386,0.374845046,SRIA-PI
A1,20 min,1084.902334,43,5,0.449893834,0.613559308,0.449893834,SRIA-PI
A1,20 min,1428.380926,55,5,0.408826682,0.211969203,0.408826682,SRIA-PI
A1,20 min,1128.314111,46,5,0.350331598,0.528466398,0.350331598,SRIA-PI
A1,20 min,1151.424498,42,5,0.386038732,0.612728483,0.386038732,SRIA-PI
A1,20 min,814.2386478,31,5,0.251800168,0.988902122,0.251800168,SRIA-PI
A1,20 min,1063.7002,44,5,0.401003813,0.598053807,0.401003813,SRIA-PI
A1,20 min,1098.412796,40,5,0.347088646,0.678133692,0.347088646,SRIA-PI
A1,20 min,1078.989818,40,5,0.443769677,0.685135013,0.443769677,SRIA-PI
A1,20 min,1297.475922,43,5,0.451226089,0.536933774,0.451226089,SRIA-PI
A1,20 min,1154.889288,42,5,0.454168646,0.611479545,0.454168646,SRIA-PI
A1,20 min,880.46104,39,5,0.33968518,0.779846021,0.33968518,SRIA-PI
A1,20 min,1088.669138,40,5,0.371197561,0.681645948,0.371197561,SRIA-PI
A1,20 min,1029.97496,39,5,0.384322275,0.725951348,0.384322275,SRIA-PI
A1,20 min,1298.912528,47,5,0.349400915,0.443823334,0.349400915,SRIA-PI
A1,20 min,1676.649443,38,2,0.58025966,0.515995381,0.58025966,SRIA-PI
A1,20 min,1623.850197,38,2,0.504186949,0.53502771,0.504186949,SRIA-PI
A1,20 min,1373.761004,32,2,0.573276385,0.764065231,0.573276385,SRIA-PI
A1,20 min,1488.258513,37,2,0.525236103,0.60705204,0.525236103,SRIA-PI
A1,20 min,1780.928562,41,2,0.522728971,0.408961868,0.522728971,SRIA-PI
A1,20 min,1129.382948,29,2,0.480254628,0.921599637,0.480254628,SRIA-PI
A1,20 min,1795.326239,36,2,0.60747472,0.519512737,0.60747472,SRIA-PI
A1,20 min,1960.567907,41,2,0.596967443,0.344208006,0.596967443,SRIA-PI
A1,20 min,1435.657623,37,2,0.511371181,0.626012868,0.511371181,SRIA-PI
A1,20 min,2143.848803,48,2,0.558123728,0.116104451,0.558123728,SRIA-PI
A1,20 min,1514.195903,35,2,0.503021119,0.643998791,0.503021119,SRIA-PI
A1,20 min,1922.43928,41,2,0.505796592,0.357952077,0.505796592,SRIA-PI
A1,20 min,2032.861324,45,2,0.562223171,0.2255561,0.562223171,SRIA-PI
A1,20 min,1578.317392,40,2,0.541421758,0.505144439,0.541421758,SRIA-PI
A1,20 min,1538.861938,36,2,0.494772892,0.611959378,0.494772892,SRIA-PI
A1,20 min,2157.716153,45,2,0.557125692,0.180550189,0.557125692,SRIA-PI
A1,20 min,1463.460461,36,2,0.565184451,0.639139041,0.565184451,SRIA-PI
A1,20 min,2281.210757,47,2,0.591557711,0.089738296,0.591557711,SRIA-PI
A1,20 min,1740.388934,40,2,0.547643581,0.446723171,0.547643581,SRIA-PI
A1,20 min,1410.025359,33,2,0.528826911,0.727845019,0.528826911,SRIA-PI
A1,20 min,1788.338339,40,2,0.564557301,0.429439044,0.564557301,SRIA-PI
A1,20 min,1813.144616,39,2,0.526273849,0.443645375,0.526273849,SRIA-PI
A1,20 min,1617.277032,35,2,0.511268316,0.606841557,0.511268316,SRIA-PI
A1,20 min,1799.210561,38,2,0.5639211,0.471816275,0.5639211,SRIA-PI
A1,20 min,1326.293748,31,2,0.494363529,0.804323707,0.494363529,SRIA-PI
A1,20 min,1741.946318,39,2,0.577834692,0.469309935,0.577834692,SRIA-PI
A1,20 min,2083.443921,43,2,0.564260673,0.253619094,0.564260673,SRIA-PI
A1,20 min,1295.494069,30,2,0.573891912,0.83857409,0.573891912,SRIA-PI
A1,20 min,989.7051347,26,2,0.520978098,1.041393173,0.520978098,SRIA-PI
A1,20 min,1523.790703,35,2,0.526512216,0.640540193,0.526512216,SRIA-PI
A1,20 min,1137.096017,50,8,0.34477717,0.432708227,0.34477717,SRIA-PI
A1,20 min,962.199405,45,8,0.323487669,0.611493237,0.323487669,SRIA-PI
A1,20 min,967.8020464,50,8,0.31475961,0.493732935,0.31475961,SRIA-PI
A1,20 min,1268.470042,62,8,0.339549012,0.10757459,0.339549012,SRIA-PI
A1,20 min,989.7095887,48,8,0.278564773,0.532132309,0.278564773,SRIA-PI
A1,20 min,1217.223505,57,8,0.278998224,0.241787961,0.278998224,SRIA-PI
A1,20 min,871.0663073,45,8,0.349699705,0.644343613,0.349699705,SRIA-PI
A1,20 min,1165.607252,57,8,0.300321352,0.260393862,0.300321352,SRIA-PI
A1,20 min,1248.419106,59,8,0.298897505,0.184246714,0.298897505,SRIA-PI
A1,20 min,993.0851697,49,8,0.301073648,0.507767378,0.301073648,SRIA-PI
A1,20 min,1214.759606,61,8,0.294540769,0.15008352,0.294540769,SRIA-PI
A1,20 min,976.4307733,53,8,0.29467719,0.421178128,0.29467719,SRIA-PI
A1,20 min,1169.031468,57,8,0.320047618,0.259159548,0.320047618,SRIA-PI
A1,20 min,1142.380725,53,8,0.282759613,0.361358826,0.282759613,SRIA-PI
A1,20 min,805.1605148,37,8,0.244859421,0.85328559,0.244859421,SRIA-PI
A1,20 min,895.3509667,42,8,0.256893811,0.705034265,0.256893811,SRIA-PI
A1,20 min,866.5725796,44,8,0.257301267,0.669111597,0.257301267,SRIA-PI
A1,20 min,1175.422242,57,8,0.323298457,0.256855892,0.323298457,SRIA-PI
A1,20 min,1297.332381,59,8,0.297615159,0.166615145,0.297615159,SRIA-PI
A1,20 min,1161.219415,55,8,0.350273959,0.308271824,0.350273959,SRIA-PI
A1,20 min,838.5622072,37,8,0.203118548,0.841245419,0.203118548,SRIA-PI
A1,20 min,883.4427047,45,8,0.242421953,0.639882343,0.242421953,SRIA-PI
A1,20 min,605.7813839,29,8,0.256527032,1.110340158,0.256527032,SRIA-PI
