Reaction_No,Reactant_1,Reactant_2,Ligand,Base,Solvent,Yield
20,"1a, 6-Cl-Q","2a, Boronic Acid","L8, dtbpf","B7, NaHCO3","S3, MeCN",0.051026
21,"1a, 6-Cl-Q","2a, Boronic Acid","L9, XPhos","B7, NaHCO3","S3, MeCN",0.831906
22,"1a, 6-Cl-Q","2a, Boronic Acid","L10, dppf","B7, NaHCO3","S3, MeCN",0.136804
23,"1a, 6-Cl-Q","2a, Boronic Acid","L11, Xantphos","B7, NaHCO3","S3, MeCN",0.018247
24,"1a, 6-Cl-Q","2a, Boronic Acid","L12, None","B7, NaHCO3","S3, MeCN",0.109941
25,"1a, 6-Cl-Q","2a, Boronic Acid","L1.0, P(tBu)3","B4, CsF","S3, MeCN",0.017868
26,"1a, 6-Cl-Q","2a, Boronic Acid","L2, P(Ph)3 ","B4, CsF","S3, MeCN",0.043592
27,"1a, 6-Cl-Q","2a, Boronic Acid","L3, P(Ph)3 ","B4, CsF","S3, MeCN",0.027097
28,"1a, 6-Cl-Q","2a, Boronic Acid","L4, P(Cy)3","B4, CsF","S3, MeCN",0.064865
29,"1a, 6-Cl-Q","2a, Boronic Acid","L5, P(o-Tol)3","B4, CsF","S3, MeCN",0.021007
30,"1a, 6-Cl-Q","2a, Boronic Acid","L6, CataCXium A","B4, CsF","S3, MeCN",0.033227
31,"1a, 6-Cl-Q","2a, Boronic Acid","L7, SPhos","B4, CsF","S3, MeCN",0.68444
32,"1a, 6-Cl-Q","2a, Boronic Acid","L8, dtbpf","B4, CsF","S3, MeCN",0.058381
33,"1a, 6-Cl-Q","2a, Boronic Acid","L9, XPhos","B4, CsF","S3, MeCN",0.730197
34,"1a, 6-Cl-Q","2a, Boronic Acid","L10, dppf","B4, CsF","S3, MeCN",0.131959
35,"1a, 6-Cl-Q","2a, Boronic Acid","L11, Xantphos","B4, CsF","S3, MeCN",0.02101
36,"1a, 6-Cl-Q","2a, Boronic Acid","L12, None","B4, CsF","S3, MeCN",0.102189
37,"1a, 6-Cl-Q","2a, Boronic Acid","L1.0, P(tBu)3","B5, K3PO4","S3, MeCN",0.03004
38,"1a, 6-Cl-Q","2a, Boronic Acid","L2, P(Ph)3 ","B5, K3PO4","S3, MeCN",0.047314
39,"1a, 6-Cl-Q","2a, Boronic Acid","L3, P(Ph)3 ","B5, K3PO4","S3, MeCN",0.02578
40,"1a, 6-Cl-Q","2a, Boronic Acid","L4, P(Cy)3","B5, K3PO4","S3, MeCN",0.058267
41,"1a, 6-Cl-Q","2a, Boronic Acid","L5, P(o-Tol)3","B5, K3PO4","S3, MeCN",0.018818
42,"1a, 6-Cl-Q","2a, Boronic Acid","L6, CataCXium A","B5, K3PO4","S3, MeCN",0.036861
43,"1a, 6-Cl-Q","2a, Boronic Acid","L7, SPhos","B5, K3PO4","S3, MeCN",0.533442
44,"1a, 6-Cl-Q","2a, Boronic Acid","L8, dtbpf","B5, K3PO4","S3, MeCN",0.05805
45,"1a, 6-Cl-Q","2a, Boronic Acid","L9, XPhos","B5, K3PO4","S3, MeCN",0.606695
46,"1a, 6-Cl-Q","2a, Boronic Acid","L10, dppf","B5, K3PO4","S3, MeCN",0.143933
47,"1a, 6-Cl-Q","2a, Boronic Acid","L11, Xantphos","B5, K3PO4","S3, MeCN",0.022687
48,"1a, 6-Cl-Q","2a, Boronic Acid","L12, None","B5, K3PO4","S3, MeCN",0.100003
49,"1a, 6-Cl-Q","2a, Boronic Acid","L1.0, P(tBu)3","B6, KOH","S3, MeCN",0.055969
50,"1a, 6-Cl-Q","2a, Boronic Acid","L2, P(Ph)3 ","B6, KOH","S3, MeCN",0.04822
51,"1a, 6-Cl-Q","2a, Boronic Acid","L3, P(Ph)3 ","B6, KOH","S3, MeCN",0.024859
52,"1a, 6-Cl-Q","2a, Boronic Acid","L4, P(Cy)3","B6, KOH","S3, MeCN",0.064562
53,"1a, 6-Cl-Q","2a, Boronic Acid","L5, P(o-Tol)3","B6, KOH","S3, MeCN",0.020595
54,"1a, 6-Cl-Q","2a, Boronic Acid","L6, CataCXium A","B6, KOH","S3, MeCN",0.032186
55,"1a, 6-Cl-Q","2a, Boronic Acid","L7, SPhos","B6, KOH","S3, MeCN",0.784174
56,"1a, 6-Cl-Q","2a, Boronic Acid","L8, dtbpf","B6, KOH","S3, MeCN",0.089398
57,"1a, 6-Cl-Q","2a, Boronic Acid","L9, XPhos","B6, KOH","S3, MeCN",0.922242
58,"1a, 6-Cl-Q","2a, Boronic Acid","L10, dppf","B6, KOH","S3, MeCN",0.142207
59,"1a, 6-Cl-Q","2a, Boronic Acid","L11, Xantphos","B6, KOH","S3, MeCN",0.023456
60,"1a, 6-Cl-Q","2a, Boronic Acid","L12, None","B6, KOH","S3, MeCN",0.181598
61,"1a, 6-Cl-Q","2a, Boronic Acid","L1.0, P(tBu)3","B3, LiOtBu","S3, MeCN",0.070789
62,"1a, 6-Cl-Q","2a, Boronic Acid","L2, P(Ph)3 ","B3, LiOtBu","S3, MeCN",0.054484
63,"1a, 6-Cl-Q","2a, Boronic Acid","L3, P(Ph)3 ","B3, LiOtBu","S3, MeCN",0.019905
64,"1a, 6-Cl-Q","2a, Boronic Acid","L4, P(Cy)3","B3, LiOtBu","S3, MeCN",0.060831
65,"1a, 6-Cl-Q","2a, Boronic Acid","L5, P(o-Tol)3","B3, LiOtBu","S3, MeCN",0.024528
66,"1a, 6-Cl-Q","2a, Boronic Acid","L6, CataCXium A","B3, LiOtBu","S3, MeCN",0.035664
67,"1a, 6-Cl-Q","2a, Boronic Acid","L7, SPhos","B3, LiOtBu","S3, MeCN",0.857734
68,"1a, 6-Cl-Q","2a, Boronic Acid","L8, dtbpf","B3, LiOtBu","S3, MeCN",0.097811
69,"1a, 6-Cl-Q","2a, Boronic Acid","L9, XPhos","B3, LiOtBu","S3, MeCN",0.928344
70,"1a, 6-Cl-Q","2a, Boronic Acid","L10, dppf","B3, LiOtBu","S3, MeCN",0.154105
71,"1a, 6-Cl-Q","2a, Boronic Acid","L11, Xantphos","B3, LiOtBu","S3, MeCN",0.024265
72,"1a, 6-Cl-Q","2a, Boronic Acid","L12, None","B3, LiOtBu","S3, MeCN",0.171759
73,"1a, 6-Cl-Q","2a, Boronic Acid","L1.0, P(tBu)3","B2, Et3N","S3, MeCN",0.078232
74,"1a, 6-Cl-Q","2a, Boronic Acid","L2, P(Ph)3 ","B2, Et3N","S3, MeCN",0.061403
75,"1a, 6-Cl-Q","2a, Boronic Acid","L3, P(Ph)3 ","B2, Et3N","S3, MeCN",0.021337
76,"1a, 6-Cl-Q","2a, Boronic Acid","L4, P(Cy)3","B2, Et3N","S3, MeCN",0.050521
77,"1a, 6-Cl-Q","2a, Boronic Acid","L5, P(o-Tol)3","B2, Et3N","S3, MeCN",0.019803
78,"1a, 6-Cl-Q","2a, Boronic Acid","L6, CataCXium A","B2, Et3N","S3, MeCN",0.044681
79,"1a, 6-Cl-Q","2a, Boronic Acid","L7, SPhos","B2, Et3N","S3, MeCN",0.789579
80,"1a, 6-Cl-Q","2a, Boronic Acid","L8, dtbpf","B2, Et3N","S3, MeCN",0.069962
81,"1a, 6-Cl-Q","2a, Boronic Acid","L9, XPhos","B2, Et3N","S3, MeCN",0.903018
82,"1a, 6-Cl-Q","2a, Boronic Acid","L10, dppf","B2, Et3N","S3, MeCN",0.153607
83,"1a, 6-Cl-Q","2a, Boronic Acid","L11, Xantphos","B2, Et3N","S3, MeCN",0.025093
84,"1a, 6-Cl-Q","2a, Boronic Acid","L12, None","B2, Et3N","S3, MeCN",0.195109
85,"1a, 6-Cl-Q","2a, Boronic Acid","L1.0, P(tBu)3","B1, None","S3, MeCN",0.097591
86,"1a, 6-Cl-Q","2a, Boronic Acid","L2, P(Ph)3 ","B1, None","S3, MeCN",0.041531
87,"1a, 6-Cl-Q","2a, Boronic Acid","L3, P(Ph)3 ","B1, None","S3, MeCN",0.015322
88,"1a, 6-Cl-Q","2a, Boronic Acid","L4, P(Cy)3","B1, None","S3, MeCN",0.057969
89,"1a, 6-Cl-Q","2a, Boronic Acid","L5, P(o-Tol)3","B1, None","S3, MeCN",0.026466
90,"1a, 6-Cl-Q","2a, Boronic Acid","L6, CataCXium A","B1, None","S3, MeCN",0.04429
91,"1a, 6-Cl-Q","2a, Boronic Acid","L7, SPhos","B1, None","S3, MeCN",0.668041
92,"1a, 6-Cl-Q","2a, Boronic Acid","L8, dtbpf","B1, None","S3, MeCN",0.064213
93,"1a, 6-Cl-Q","2a, Boronic Acid","L9, XPhos","B1, None","S3, MeCN",0.782265
94,"1a, 6-Cl-Q","2a, Boronic Acid","L10, dppf","B1, None","S3, MeCN",0.13954
95,"1a, 6-Cl-Q","2a, Boronic Acid","L11, Xantphos","B1, None","S3, MeCN",0.021104
96,"1a, 6-Cl-Q","2a, Boronic Acid","L12, None","B1, None","S3, MeCN",0.082874
97,"1a, 6-Cl-Q","2a, Boronic Acid","L1.0, P(tBu)3","B8, NaOH","S2, THF",0.337884
98,"1a, 6-Cl-Q","2a, Boronic Acid","L2, P(Ph)3 ","B8, NaOH","S2, THF",0.080839
99,"1a, 6-Cl-Q","2a, Boronic Acid","L3, P(Ph)3 ","B8, NaOH","S2, THF",0.612001
100,"1a, 6-Cl-Q","2a, Boronic Acid","L4, P(Cy)3","B8, NaOH","S2, THF",0.69942
101,"1a, 6-Cl-Q","2a, Boronic Acid","L5, P(o-Tol)3","B8, NaOH","S2, THF",0.072041
102,"1a, 6-Cl-Q","2a, Boronic Acid","L6, CataCXium A","B8, NaOH","S2, THF",0.794676
103,"1a, 6-Cl-Q","2a, Boronic Acid","L7, SPhos","B8, NaOH","S2, THF",0.870599
104,"1a, 6-Cl-Q","2a, Boronic Acid","L8, dtbpf","B8, NaOH","S2, THF",0.127035
105,"1a, 6-Cl-Q","2a, Boronic Acid","L9, XPhos","B8, NaOH","S2, THF",0.889667
106,"1a, 6-Cl-Q","2a, Boronic Acid","L10, dppf","B8, NaOH","S2, THF",0.279255
107,"1a, 6-Cl-Q","2a, Boronic Acid","L11, Xantphos","B8, NaOH","S2, THF",0.061057
108,"1a, 6-Cl-Q","2a, Boronic Acid","L12, None","B8, NaOH","S2, THF",0.199965
109,"1a, 6-Cl-Q","2a, Boronic Acid","L1.0, P(tBu)3","B7, NaHCO3","S2, THF",0.667358
110,"1a, 6-Cl-Q","2a, Boronic Acid","L2, P(Ph)3 ","B7, NaHCO3","S2, THF",0.081117
111,"1a, 6-Cl-Q","2a, Boronic Acid","L3, P(Ph)3 ","B7, NaHCO3","S2, THF",0.574844
112,"1a, 6-Cl-Q","2a, Boronic Acid","L4, P(Cy)3","B7, NaHCO3","S2, THF",0.618864
113,"1a, 6-Cl-Q","2a, Boronic Acid","L5, P(o-Tol)3","B7, NaHCO3","S2, THF",0.022298
114,"1a, 6-Cl-Q","2a, Boronic Acid","L6, CataCXium A","B7, NaHCO3","S2, THF",0.704549
115,"1a, 6-Cl-Q","2a, Boronic Acid","L7, SPhos","B7, NaHCO3","S2, THF",0.798467
116,"1a, 6-Cl-Q","2a, Boronic Acid","L8, dtbpf","B7, NaHCO3","S2, THF",0.095994
117,"1a, 6-Cl-Q","2a, Boronic Acid","L9, XPhos","B7, NaHCO3","S2, THF",0.807677
118,"1a, 6-Cl-Q","2a, Boronic Acid","L10, dppf","B7, NaHCO3","S2, THF",0.192432
119,"1a, 6-Cl-Q","2a, Boronic Acid","L11, Xantphos","B7, NaHCO3","S2, THF",0.051969
120,"1a, 6-Cl-Q","2a, Boronic Acid","L12, None","B7, NaHCO3","S2, THF",0.083316
121,"1a, 6-Cl-Q","2a, Boronic Acid","L1.0, P(tBu)3","B4, CsF","S2, THF",0.391692
122,"1a, 6-Cl-Q","2a, Boronic Acid","L2, P(Ph)3 ","B4, CsF","S2, THF",0.07242
123,"1a, 6-Cl-Q","2a, Boronic Acid","L3, P(Ph)3 ","B4, CsF","S2, THF",0.449831
124,"1a, 6-Cl-Q","2a, Boronic Acid","L4, P(Cy)3","B4, CsF","S2, THF",0.509505
125,"1a, 6-Cl-Q","2a, Boronic Acid","L5, P(o-Tol)3","B4, CsF","S2, THF",0.02228
126,"1a, 6-Cl-Q","2a, Boronic Acid","L6, CataCXium A","B4, CsF","S2, THF",0.612923
127,"1a, 6-Cl-Q","2a, Boronic Acid","L7, SPhos","B4, CsF","S2, THF",0.608256
128,"1a, 6-Cl-Q","2a, Boronic Acid","L8, dtbpf","B4, CsF","S2, THF",0.099436
129,"1a, 6-Cl-Q","2a, Boronic Acid","L9, XPhos","B4, CsF","S2, THF",0.535151
130,"1a, 6-Cl-Q","2a, Boronic Acid","L10, dppf","B4, CsF","S2, THF",0.181816
131,"1a, 6-Cl-Q","2a, Boronic Acid","L11, Xantphos","B4, CsF","S2, THF",0.03682
132,"1a, 6-Cl-Q","2a, Boronic Acid","L12, None","B4, CsF","S2, THF",0.084166
133,"1a, 6-Cl-Q","2a, Boronic Acid","L1.0, P(tBu)3","B5, K3PO4","S2, THF",0.412342
134,"1a, 6-Cl-Q","2a, Boronic Acid","L2, P(Ph)3 ","B5, K3PO4","S2, THF",0.066575
135,"1a, 6-Cl-Q","2a, Boronic Acid","L3, P(Ph)3 ","B5, K3PO4","S2, THF",0.33019
136,"1a, 6-Cl-Q","2a, Boronic Acid","L4, P(Cy)3","B5, K3PO4","S2, THF",0.50057
137,"1a, 6-Cl-Q","2a, Boronic Acid","L5, P(o-Tol)3","B5, K3PO4","S2, THF",0.026756
138,"1a, 6-Cl-Q","2a, Boronic Acid","L6, CataCXium A","B5, K3PO4","S2, THF",0.558517
139,"1a, 6-Cl-Q","2a, Boronic Acid","L7, SPhos","B5, K3PO4","S2, THF",0.479422
140,"1a, 6-Cl-Q","2a, Boronic Acid","L8, dtbpf","B5, K3PO4","S2, THF",0.093691
141,"1a, 6-Cl-Q","2a, Boronic Acid","L9, XPhos","B5, K3PO4","S2, THF",0.523255
142,"1a, 6-Cl-Q","2a, Boronic Acid","L10, dppf","B5, K3PO4","S2, THF",0.201771
143,"1a, 6-Cl-Q","2a, Boronic Acid","L11, Xantphos","B5, K3PO4","S2, THF",0.042482
144,"1a, 6-Cl-Q","2a, Boronic Acid","L12, None","B5, K3PO4","S2, THF",0.079758
145,"1a, 6-Cl-Q","2a, Boronic Acid","L1.0, P(tBu)3","B6, KOH","S2, THF",0.485611
146,"1a, 6-Cl-Q","2a, Boronic Acid","L2, P(Ph)3 ","B6, KOH","S2, THF",0.077717
147,"1a, 6-Cl-Q","2a, Boronic Acid","L3, P(Ph)3 ","B6, KOH","S2, THF",0.42733
148,"1a, 6-Cl-Q","2a, Boronic Acid","L4, P(Cy)3","B6, KOH","S2, THF",0.550785
149,"1a, 6-Cl-Q","2a, Boronic Acid","L5, P(o-Tol)3","B6, KOH","S2, THF",0.030327
150,"1a, 6-Cl-Q","2a, Boronic Acid","L6, CataCXium A","B6, KOH","S2, THF",0.623266
151,"1a, 6-Cl-Q","2a, Boronic Acid","L7, SPhos","B6, KOH","S2, THF",0.733055
152,"1a, 6-Cl-Q","2a, Boronic Acid","L8, dtbpf","B6, KOH","S2, THF",0.123022
153,"1a, 6-Cl-Q","2a, Boronic Acid","L9, XPhos","B6, KOH","S2, THF",0.720008
154,"1a, 6-Cl-Q","2a, Boronic Acid","L10, dppf","B6, KOH","S2, THF",0.261379
155,"1a, 6-Cl-Q","2a, Boronic Acid","L11, Xantphos","B6, KOH","S2, THF",0.045426
156,"1a, 6-Cl-Q","2a, Boronic Acid","L12, None","B6, KOH","S2, THF",0.178335
157,"1a, 6-Cl-Q","2a, Boronic Acid","L1.0, P(tBu)3","B3, LiOtBu","S2, THF",0.661567
158,"1a, 6-Cl-Q","2a, Boronic Acid","L2, P(Ph)3 ","B3, LiOtBu","S2, THF",0.099194
159,"1a, 6-Cl-Q","2a, Boronic Acid","L3, P(Ph)3 ","B3, LiOtBu","S2, THF",0.585147
160,"1a, 6-Cl-Q","2a, Boronic Acid","L4, P(Cy)3","B3, LiOtBu","S2, THF",0.781514
161,"1a, 6-Cl-Q","2a, Boronic Acid","L5, P(o-Tol)3","B3, LiOtBu","S2, THF",0.051214
162,"1a, 6-Cl-Q","2a, Boronic Acid","L6, CataCXium A","B3, LiOtBu","S2, THF",0.620179
163,"1a, 6-Cl-Q","2a, Boronic Acid","L7, SPhos","B3, LiOtBu","S2, THF",0.859474
164,"1a, 6-Cl-Q","2a, Boronic Acid","L8, dtbpf","B3, LiOtBu","S2, THF",0.139143
165,"1a, 6-Cl-Q","2a, Boronic Acid","L9, XPhos","B3, LiOtBu","S2, THF",0.852125
166,"1a, 6-Cl-Q","2a, Boronic Acid","L10, dppf","B3, LiOtBu","S2, THF",0.268268
167,"1a, 6-Cl-Q","2a, Boronic Acid","L11, Xantphos","B3, LiOtBu","S2, THF",0
168,"1a, 6-Cl-Q","2a, Boronic Acid","L12, None","B3, LiOtBu","S2, THF",0.353665
169,"1a, 6-Cl-Q","2a, Boronic Acid","L1.0, P(tBu)3","B2, Et3N","S2, THF",0.687223
170,"1a, 6-Cl-Q","2a, Boronic Acid","L2, P(Ph)3 ","B2, Et3N","S2, THF",0.101595
171,"1a, 6-Cl-Q","2a, Boronic Acid","L3, P(Ph)3 ","B2, Et3N","S2, THF",0.488032
172,"1a, 6-Cl-Q","2a, Boronic Acid","L4, P(Cy)3","B2, Et3N","S2, THF",0.826475
173,"1a, 6-Cl-Q","2a, Boronic Acid","L5, P(o-Tol)3","B2, Et3N","S2, THF",0.059704
174,"1a, 6-Cl-Q","2a, Boronic Acid","L6, CataCXium A","B2, Et3N","S2, THF",0.807441
175,"1a, 6-Cl-Q","2a, Boronic Acid","L7, SPhos","B2, Et3N","S2, THF",0.878201
176,"1a, 6-Cl-Q","2a, Boronic Acid","L8, dtbpf","B2, Et3N","S2, THF",0.135555
177,"1a, 6-Cl-Q","2a, Boronic Acid","L9, XPhos","B2, Et3N","S2, THF",0.889253
178,"1a, 6-Cl-Q","2a, Boronic Acid","L10, dppf","B2, Et3N","S2, THF",0.216492
179,"1a, 6-Cl-Q","2a, Boronic Acid","L11, Xantphos","B2, Et3N","S2, THF",0.036367
180,"1a, 6-Cl-Q","2a, Boronic Acid","L12, None","B2, Et3N","S2, THF",0.146678
181,"1a, 6-Cl-Q","2a, Boronic Acid","L1.0, P(tBu)3","B1, None","S2, THF",0.675735
182,"1a, 6-Cl-Q","2a, Boronic Acid","L2, P(Ph)3 ","B1, None","S2, THF",0.094364
183,"1a, 6-Cl-Q","2a, Boronic Acid","L3, P(Ph)3 ","B1, None","S2, THF",0.645583
184,"1a, 6-Cl-Q","2a, Boronic Acid","L4, P(Cy)3","B1, None","S2, THF",0.739667
185,"1a, 6-Cl-Q","2a, Boronic Acid","L5, P(o-Tol)3","B1, None","S2, THF",0.048126
186,"1a, 6-Cl-Q","2a, Boronic Acid","L6, CataCXium A","B1, None","S2, THF",0.836189
187,"1a, 6-Cl-Q","2a, Boronic Acid","L7, SPhos","B1, None","S2, THF",0.891672
188,"1a, 6-Cl-Q","2a, Boronic Acid","L8, dtbpf","B1, None","S2, THF",0.109695
189,"1a, 6-Cl-Q","2a, Boronic Acid","L9, XPhos","B1, None","S2, THF",0.913485
190,"1a, 6-Cl-Q","2a, Boronic Acid","L10, dppf","B1, None","S2, THF",0.218729
191,"1a, 6-Cl-Q","2a, Boronic Acid","L11, Xantphos","B1, None","S2, THF",0.045727
192,"1a, 6-Cl-Q","2a, Boronic Acid","L12, None","B1, None","S2, THF",0.115267
193,"1a, 6-Cl-Q","2a, Boronic Acid","L1.0, P(tBu)3","B8, NaOH","S4, DMF",0.173301
194,"1a, 6-Cl-Q","2a, Boronic Acid","L2, P(Ph)3 ","B8, NaOH","S4, DMF",0.062716
195,"1a, 6-Cl-Q","2a, Boronic Acid","L3, P(Ph)3 ","B8, NaOH","S4, DMF",0.053378
196,"1a, 6-Cl-Q","2a, Boronic Acid","L4, P(Cy)3","B8, NaOH","S4, DMF",0.127404
197,"1a, 6-Cl-Q","2a, Boronic Acid","L5, P(o-Tol)3","B8, NaOH","S4, DMF",0.05372
198,"1a, 6-Cl-Q","2a, Boronic Acid","L6, CataCXium A","B8, NaOH","S4, DMF",0.085992
199,"1a, 6-Cl-Q","2a, Boronic Acid","L7, SPhos","B8, NaOH","S4, DMF",0.778489
200,"1a, 6-Cl-Q","2a, Boronic Acid","L8, dtbpf","B8, NaOH","S4, DMF",0.100341
201,"1a, 6-Cl-Q","2a, Boronic Acid","L9, XPhos","B8, NaOH","S4, DMF",0.882754
202,"1a, 6-Cl-Q","2a, Boronic Acid","L10, dppf","B8, NaOH","S4, DMF",0.138715
203,"1a, 6-Cl-Q","2a, Boronic Acid","L11, Xantphos","B8, NaOH","S4, DMF",0.047965
204,"1a, 6-Cl-Q","2a, Boronic Acid","L12, None","B8, NaOH","S4, DMF",0.083148
205,"1a, 6-Cl-Q","2a, Boronic Acid","L1.0, P(tBu)3","B7, NaHCO3","S4, DMF",0.034956
206,"1a, 6-Cl-Q","2a, Boronic Acid","L2, P(Ph)3 ","B7, NaHCO3","S4, DMF",0.068385
207,"1a, 6-Cl-Q","2a, Boronic Acid","L3, P(Ph)3 ","B7, NaHCO3","S4, DMF",0.025368
208,"1a, 6-Cl-Q","2a, Boronic Acid","L4, P(Cy)3","B7, NaHCO3","S4, DMF",0.105917
209,"1a, 6-Cl-Q","2a, Boronic Acid","L5, P(o-Tol)3","B7, NaHCO3","S4, DMF",0.011874
210,"1a, 6-Cl-Q","2a, Boronic Acid","L6, CataCXium A","B7, NaHCO3","S4, DMF",0.078529
211,"1a, 6-Cl-Q","2a, Boronic Acid","L7, SPhos","B7, NaHCO3","S4, DMF",0.421326
212,"1a, 6-Cl-Q","2a, Boronic Acid","L8, dtbpf","B7, NaHCO3","S4, DMF",0.068142
213,"1a, 6-Cl-Q","2a, Boronic Acid","L9, XPhos","B7, NaHCO3","S4, DMF",0.37015
214,"1a, 6-Cl-Q","2a, Boronic Acid","L10, dppf","B7, NaHCO3","S4, DMF",0.162395
215,"1a, 6-Cl-Q","2a, Boronic Acid","L11, Xantphos","B7, NaHCO3","S4, DMF",0
216,"1a, 6-Cl-Q","2a, Boronic Acid","L12, None","B7, NaHCO3","S4, DMF",0.052957
217,"1a, 6-Cl-Q","2a, Boronic Acid","L1.0, P(tBu)3","B4, CsF","S4, DMF",0.012208
218,"1a, 6-Cl-Q","2a, Boronic Acid","L2, P(Ph)3 ","B4, CsF","S4, DMF",0.062365
219,"1a, 6-Cl-Q","2a, Boronic Acid","L3, P(Ph)3 ","B4, CsF","S4, DMF",0.042474
220,"1a, 6-Cl-Q","2a, Boronic Acid","L4, P(Cy)3","B4, CsF","S4, DMF",0.425433
221,"1a, 6-Cl-Q","2a, Boronic Acid","L5, P(o-Tol)3","B4, CsF","S4, DMF",0.010494
222,"1a, 6-Cl-Q","2a, Boronic Acid","L6, CataCXium A","B4, CsF","S4, DMF",0.128923
223,"1a, 6-Cl-Q","2a, Boronic Acid","L7, SPhos","B4, CsF","S4, DMF",0.638781
224,"1a, 6-Cl-Q","2a, Boronic Acid","L8, dtbpf","B4, CsF","S4, DMF",0.086698
225,"1a, 6-Cl-Q","2a, Boronic Acid","L9, XPhos","B4, CsF","S4, DMF",0.608804
226,"1a, 6-Cl-Q","2a, Boronic Acid","L10, dppf","B4, CsF","S4, DMF",0.086698
227,"1a, 6-Cl-Q","2a, Boronic Acid","L11, Xantphos","B4, CsF","S4, DMF",0.051453
228,"1a, 6-Cl-Q","2a, Boronic Acid","L12, None","B4, CsF","S4, DMF",0.187347
229,"1a, 6-Cl-Q","2a, Boronic Acid","L1.0, P(tBu)3","B5, K3PO4","S4, DMF",0.036925
230,"1a, 6-Cl-Q","2a, Boronic Acid","L2, P(Ph)3 ","B5, K3PO4","S4, DMF",0.052992
231,"1a, 6-Cl-Q","2a, Boronic Acid","L3, P(Ph)3 ","B5, K3PO4","S4, DMF",0.050771
232,"1a, 6-Cl-Q","2a, Boronic Acid","L4, P(Cy)3","B5, K3PO4","S4, DMF",0.069658
233,"1a, 6-Cl-Q","2a, Boronic Acid","L5, P(o-Tol)3","B5, K3PO4","S4, DMF",0.009881
234,"1a, 6-Cl-Q","2a, Boronic Acid","L6, CataCXium A","B5, K3PO4","S4, DMF",0.119092
235,"1a, 6-Cl-Q","2a, Boronic Acid","L7, SPhos","B5, K3PO4","S4, DMF",0.398297
236,"1a, 6-Cl-Q","2a, Boronic Acid","L8, dtbpf","B5, K3PO4","S4, DMF",0.075788
237,"1a, 6-Cl-Q","2a, Boronic Acid","L9, XPhos","B5, K3PO4","S4, DMF",0.394896
238,"1a, 6-Cl-Q","2a, Boronic Acid","L10, dppf","B5, K3PO4","S4, DMF",0.090328
239,"1a, 6-Cl-Q","2a, Boronic Acid","L11, Xantphos","B5, K3PO4","S4, DMF",0
240,"1a, 6-Cl-Q","2a, Boronic Acid","L12, None","B5, K3PO4","S4, DMF",0.140787
241,"1a, 6-Cl-Q","2a, Boronic Acid","L1.0, P(tBu)3","B6, KOH","S4, DMF",0.135475
242,"1a, 6-Cl-Q","2a, Boronic Acid","L2, P(Ph)3 ","B6, KOH","S4, DMF",0.0436
243,"1a, 6-Cl-Q","2a, Boronic Acid","L3, P(Ph)3 ","B6, KOH","S4, DMF",0.032971
244,"1a, 6-Cl-Q","2a, Boronic Acid","L4, P(Cy)3","B6, KOH","S4, DMF",0.074702
